division,heat,athlete,university,best_wave,place,raw_scores
Open Men,Round 1 H1,Leopold Bockmaier,UNI Erlangen-Nürnberg,,1,"{""2071667"": []}"
Open Men,Round 1 H1,Johannes Schieblich,HU Berlin,,1,"{""1715662"": []}"
Open Men,Round 1 H1,Robin Tober,UNI Potsdam,,1,"{""2071643"": []}"
Open Men,Round 1 H2,Moritz Keller,UNI Potsdam,,1,"{""864862"": []}"
Open Men,Round 1 H2,Joshua Kölln,UNI Kiel,,1,"{""1275776"": []}"
Open Men,Round 1 H2,Johannes Krammer,TU München,,1,"{""1274481"": []}"
Open Men,Round 1 H2,Elias Braune,UNI Würzburg,,1,"{""2071657"": []}"
Open Men,Round 1 H3,Fynnian Schmid,ABK Stuttgart,,1,"{""2096503"": []}"
Open Men,Round 1 H3,Anton Richter,UNI Kiel,,1,"{""2071681"": []}"
Open Men,Round 1 H3,Darius Metzler,DSHS Köln,,1,"{""864876"": []}"
Open Men,Round 1 H3,Lukas Hipp,UNI Würzburg,,1,"{""1715642"": []}"
Open Men,Round 1 H4,Lian Matzke,UNI Potsdam,,1,"{""864873"": []}"
Open Men,Round 1 H4,Merlin Müller,UNI Kiel,,1,"{""2071680"": []}"
Open Men,Round 1 H4,Ben Eversheim,DSHS Köln,,1,"{""2071630"": []}"
Open Men,Round 1 H4,Tammo Eckhardt,TU Braunschweig,,1,"{""2071654"": []}"
Open Men,Round 1 H5,Luca Spanier,TU München,,1,"{""2071660"": []}"
Open Men,Round 1 H5,Ben Edenharder,Uni Innsbruck,,1,"{""2071678"": []}"
Open Men,Round 1 H5,David Voetlause,UNI Kiel,,1,"{""2071633"": []}"
Open Men,Round 1 H5,Niklas Kroll,TH Köln,,1,"{""2071652"": []}"
Open Men,Round 1 H6,Jannes Tasche,UNI Hannover,,1,"{""2071661"": []}"
Open Men,Round 1 H6,Nicolas Ahrens,Uni Innsbruck,,1,"{""2071677"": []}"
Open Men,Round 1 H6,Noah Menzinger,DSHS Köln,,1,"{""2071634"": []}"
Open Men,Round 1 H6,Robin Paul,UNI Stuttgart,,1,"{""2071651"": []}"
Open Men,Round 1 H7,Patrick Mengel,UNI Augsburg,,1,"{""1274486"": []}"
Open Men,Round 1 H7,Joschuah Maruan Fach,UNI Göttingen,,1,"{""1274195"": []}"
Open Men,Round 1 H7,Jannik Kuhle,UNI Münster,,1,"{""864556"": []}"
Open Men,Round 1 H7,Florian Staudenmaier,UNI Stuttgart,,1,"{""1715658"": []}"
Open Men,Round 1 H8,Adrian Wilmers,UNI Freiburg,,1,"{""1274502"": []}"
Open Men,Round 1 H8,Erik Jehn,UNI Freiburg,,1,"{""2071674"": []}"
Open Men,Round 1 H8,Laurenz Rohwedder,UNI Münster,,1,"{""1715661"": []}"
Open Men,Round 1 H8,Joshua Fritz,UNI Stuttgart,,1,"{""2071648"": []}"
Open Men,Round 1 H9,Niklas Mirbeth,UNI Augsburg,,1,"{""2071665"": []}"
Open Men,Round 1 H9,Leander Rothfuß,UNI Freiburg,,1,"{""1715657"": []}"
Open Men,Round 1 H9,Jonas Braune,Fern Uni Hagen,,1,"{""2071639"": []}"
Open Men,Round 1 H9,Leon Sebastian,RPTU Kaiserslautern-Landau,,1,"{""1715669"": []}"
Open Men,Round 1 H10,Julian Filk,UNI Freiburg,,1,"{""253338"": []}"
Open Men,Round 1 H10,Arne Dues,UNI Freiburg,,1,"{""1274194"": []}"
Open Men,Round 1 H10,Klemens Kunz,UNI Münster,,1,"{""2071640"": []}"
Open Men,Round 1 H10,Felix Von Berg,UNI Stuttgart,,1,"{""2071645"": []}"
Open Men,Round 1 H11,Christopher Brielmann,UNI Bochum,,1,"{""864898"": []}"
Open Men,Round 1 H11,Janis Kadel,UNI Potsdam,,1,"{""864860"": []}"
Open Men,Round 1 H11,Marvin Knape,UNI Potsdam,,1,"{""1274479"": []}"
Open Men,Round 1 H11,Haiko Härle,UNI Regensburg,,1,"{""1274474"": []}"
Open Men,Round 1 H12,Nick Wachholz,UNI Erlangen-Nürnberg,,1,"{""1715651"": []}"
Open Men,Round 1 H12,Julian Loos,UNI Marburg,,1,"{""1715646"": []}"
Open Men,Round 1 H12,Mika Wille,UNI Potsdam,,1,"{""1274501"": []}"
Open Men,Round 1 H12,Luca Dransmann,KIT Karlsruhe,,1,"{""2071644"": []}"
Open Men,Round 1 H13,Jonas Hombach,RPTU Kaiserslauter-Lautern,,1,"{""2071670"": []}"
Open Men,Round 1 H13,Janosch Jescheck,UNI Freiburg,,1,"{""2071671"": []}"
Open Men,Round 1 H13,Henri Waiblinger,HS Flensburg,,1,"{""2071641"": []}"
Open Men,Round 1 H13,Elias Flesch,UNI Rostock,,1,"{""253368"": []}"
Open Men,Round 1 H14,Luis Lupper,TU München,,1,"{""257939"": []}"
Open Men,Round 1 H14,Paul Winckler,UNI Freiburg,,1,"{""2071672"": []}"
Open Men,Round 1 H14,Felix Leson,UNI Münster,,1,"{""2071638"": []}"
Open Men,Round 1 H14,Robin Haiss,UNI Stuttgart,,1,"{""2071646"": []}"
